country,iso3,combined_city
Afghanistan,AFG,"Faīẕābād, Badakhshān"
Afghanistan,AFG,"Ishkāshim, Badakhshān"
Afghanistan,AFG,"Sheghnān, Badakhshān"
Afghanistan,AFG,"Baghlān, Baghlān"
Afghanistan,AFG,"Pul-e Khumrī, Baghlān"
Afghanistan,AFG,"Balkh, Balkh"
Afghanistan,AFG,"Bālā Kōh, Balkh"
Afghanistan,AFG,"Khulm, Balkh"
Afghanistan,AFG,"Mazār-e Sharīf, Balkh"
Afghanistan,AFG,"Qal‘ah-ye Now, Bādghīs"
Afghanistan,AFG,"Bāmyān, Bāmyān"
Afghanistan,AFG,"Bāzār-e Yakāwlang, Bāmyān"
Afghanistan,AFG,"Panjāb, Bāmyān"
Afghanistan,AFG,"Nīlī, Dāykundī"
Afghanistan,AFG,"Ḩukūmatī Gīzāb, Dāykundī"
Afghanistan,AFG,"Farāh, Farāh"
Afghanistan,AFG,"Tujg, Farāh"
Afghanistan,AFG,"Andkhōy, Fāryāb"
Afghanistan,AFG,"Maīmanah, Fāryāb"
Afghanistan,AFG,"Ghaznī, Ghaznī"
Afghanistan,AFG,"Fayrōz Kōh, Ghōr"
Afghanistan,AFG,"Taywarah, Ghōr"
Afghanistan,AFG,"Deh-e Shū, Helmand"
Afghanistan,AFG,"Lashkar Gāh, Helmand"
Afghanistan,AFG,"Sangīn, Helmand"
Afghanistan,AFG,"Ḩukūmatī Baghrān, Helmand"
Afghanistan,AFG,"Ghōriyān, Herāt"
Afghanistan,AFG,"Herāt, Herāt"
Afghanistan,AFG,"Islām Qal‘ah, Herāt"
Afghanistan,AFG,"Karukh, Herāt"
Afghanistan,AFG,"Kuhsān, Herāt"
Afghanistan,AFG,"Kushk, Herāt"
Afghanistan,AFG,"Qarqīn, Jowzjān"
Afghanistan,AFG,"Shibirghān, Jowzjān"
Afghanistan,AFG,"Āqchah, Jowzjān"
Afghanistan,AFG,"Kandahār, Kandahār"
Afghanistan,AFG,"Khōst, Khōst"
Afghanistan,AFG,"Asadābād, Kunaṟ"
Afghanistan,AFG,"Chīchkah, Kunduz"
